Country,Confirmed,Date
Spain,4719266,2021-08-16T00:00:00Z
Spain,4733602,2021-08-17T00:00:00Z
Spain,4745558,2021-08-18T00:00:00Z
Spain,4758003,2021-08-19T00:00:00Z
Spain,4770453,2021-08-20T00:00:00Z
Spain,4770453,2021-08-21T00:00:00Z
Spain,4770453,2021-08-22T00:00:00Z
Spain,4794352,2021-08-23T00:00:00Z
Spain,4804424,2021-08-24T00:00:00Z
Spain,4815205,2021-08-25T00:00:00Z
Spain,4822320,2021-08-26T00:00:00Z
Spain,4831809,2021-08-27T00:00:00Z
Spain,4831809,2021-08-28T00:00:00Z
Spain,4831809,2021-08-29T00:00:00Z
Spain,4847298,2021-08-30T00:00:00Z
Spain,4855065,2021-08-31T00:00:00Z
Spain,4861883,2021-09-01T00:00:00Z
Spain,4871444,2021-09-02T00:00:00Z
Spain,4877755,2021-09-03T00:00:00Z
Spain,4877755,2021-09-04T00:00:00Z
Spain,4877755,2021-09-05T00:00:00Z
Spain,4887112,2021-09-06T00:00:00Z
Spain,4892640,2021-09-07T00:00:00Z
Spain,4898258,2021-09-08T00:00:00Z
Spain,4903021,2021-09-09T00:00:00Z
Spain,4907461,2021-09-10T00:00:00Z
Spain,4907461,2021-09-11T00:00:00Z
Spain,4907461,2021-09-12T00:00:00Z
Spain,4915265,2021-09-13T00:00:00Z
Spain,4918526,2021-09-14T00:00:00Z
Spain,4922249,2021-09-15T00:00:00Z
Spain,4926324,2021-09-16T00:00:00Z
Spain,4929546,2021-09-17T00:00:00Z
Spain,4929546,2021-09-18T00:00:00Z
Spain,4929546,2021-09-19T00:00:00Z
Spain,4935534,2021-09-20T00:00:00Z
Spain,4937984,2021-09-21T00:00:00Z
Spain,4940824,2021-09-22T00:00:00Z
Spain,4943855,2021-09-23T00:00:00Z
Spain,4946601,2021-09-24T00:00:00Z
Spain,4946601,2021-09-25T00:00:00Z
Spain,4946601,2021-09-26T00:00:00Z
Spain,4951640,2021-09-27T00:00:00Z
Spain,4953930,2021-09-28T00:00:00Z
Spain,4956691,2021-09-29T00:00:00Z
Spain,4959091,2021-09-30T00:00:00Z
Spain,4961128,2021-10-01T00:00:00Z
